Time,Height,Suction
2019-07-20 03:45:00,100.0,4007.81
2019-07-20 04:00:00,100.0,4009.61
2019-07-20 04:15:00,100.0,4019.76
2019-07-20 04:30:00,100.0,4007.81
2019-07-20 04:45:00,100.0,4014.25
2019-07-20 05:00:00,100.0,4014.25
2019-07-20 05:15:00,100.0,4013.44
2019-07-20 05:30:00,100.0,4008.43
2019-07-20 05:45:00,100.0,4008.43
2019-07-20 06:00:00,100.0,4008.43
2019-07-20 06:15:00,100.0,4002.21
2019-07-20 06:30:00,100.0,3999.96
2019-07-20 06:45:00,100.0,3992.22
2019-07-20 07:00:00,100.0,3999.96
2019-07-20 07:15:00,100.0,3984.33
2019-07-20 07:30:00,100.0,3980.24
2019-07-20 07:45:00,100.0,3980.24
2019-07-20 08:00:00,100.0,3980.24
2019-07-20 08:15:00,100.0,3980.24
2019-07-20 08:30:00,100.0,3989.25
2019-07-20 08:45:00,100.0,3989.25
2019-07-20 09:00:00,100.0,3978.2
2019-07-20 09:15:00,100.0,3976.88
2019-07-20 09:30:00,100.0,3976.88
2019-07-20 09:45:00,100.0,3971.5
2019-07-20 10:00:00,100.0,3967.2
2019-07-20 10:15:00,100.0,3971.5
2019-07-20 10:30:00,100.0,3982.52
2019-07-20 10:45:00,100.0,3971.5
2019-07-20 11:00:00,100.0,3967.2
2019-07-20 11:15:00,100.0,3961.44
2019-07-20 11:30:00,100.0,3961.44
2019-07-20 11:45:00,100.0,3961.44
2019-07-20 12:00:00,100.0,3958.13
2019-07-20 12:15:00,100.0,3967.5
2019-07-20 12:30:00,100.0,3979.44
2019-07-20 12:45:00,100.0,3979.44
2019-07-20 13:00:00,100.0,3979.44
2019-07-20 13:15:00,100.0,3979.44
2019-07-20 13:30:00,100.0,3945.75
2019-07-20 13:45:00,100.0,3932.34
2019-07-20 14:00:00,100.0,3914.33
2019-07-20 14:15:00,100.0,3911.01
2019-07-20 14:30:00,100.0,3907.14
2019-07-20 14:45:00,100.0,3906.38
2019-07-20 15:00:00,100.0,3891.09
2019-07-20 15:15:00,100.0,3855.59
2019-07-20 15:30:00,100.0,3854.4
2019-07-20 15:45:00,100.0,3854.4
2019-07-20 16:00:00,100.0,3849.51
2019-07-20 16:15:00,100.0,3849.51
2019-07-20 16:30:00,100.0,3841.64
2019-07-20 16:45:00,100.0,3835.67
2019-07-20 17:00:00,100.0,3824.82
2019-07-20 17:15:00,100.0,3824.82
2019-07-20 17:30:00,100.0,3832.75
2019-07-20 17:45:00,100.0,3832.75
2019-07-20 18:00:00,100.0,3832.75
2019-07-20 18:15:00,100.0,3832.75
2019-07-20 18:30:00,100.0,3827.0
2019-07-20 18:45:00,100.0,3827.0
2019-07-20 19:00:00,100.0,3827.0
2019-07-20 19:15:00,100.0,3825.49
2019-07-20 19:30:00,100.0,3835.11
2019-07-20 19:45:00,100.0,3835.11
2019-07-20 20:00:00,100.0,3832.22
2019-07-20 20:15:00,100.0,3832.22
2019-07-20 20:30:00,100.0,3844.68
2019-07-20 20:45:00,100.0,3850.12
2019-07-20 21:00:00,100.0,3851.98
2019-07-20 21:15:00,100.0,3869.98
2019-07-20 21:30:00,100.0,3869.98
2019-07-20 21:45:00,100.0,3875.95
2019-07-20 22:00:00,100.0,3876.89
2019-07-20 22:15:00,100.0,3880.25
2019-07-20 22:30:00,100.0,3905.72
2019-07-20 22:45:00,100.0,3917.09
2019-07-20 23:00:00,100.0,3917.09
2019-07-20 23:15:00,100.0,3917.09
2019-07-20 23:30:00,100.0,3923.14
2019-07-20 23:45:00,100.0,3923.14
2019-07-21 00:00:00,100.0,3918.15
2019-07-21 00:15:00,100.0,3923.14
2019-07-21 00:30:00,100.0,3930.52
2019-07-21 00:45:00,100.0,3927.02
2019-07-21 01:00:00,100.0,3930.52
2019-07-21 01:15:00,100.0,3932.08
2019-07-21 01:30:00,100.0,3944.65
2019-07-21 01:45:00,100.0,3952.53
2019-07-21 02:00:00,100.0,3952.53
2019-07-21 02:15:00,100.0,3965.2
2019-07-21 02:30:00,100.0,3952.8
2019-07-21 02:45:00,100.0,3966.77
2019-07-21 03:00:00,100.0,3978.1
2019-07-21 03:15:00,100.0,3978.26
2019-07-21 03:30:00,100.0,3978.26
2019-07-21 03:45:00,100.0,3988.13
2019-07-21 04:00:00,100.0,3990.57
2019-07-21 04:15:00,100.0,3990.57
2019-07-21 04:30:00,100.0,3990.57
2019-07-21 04:45:00,100.0,3990.57
2019-07-21 05:00:00,100.0,3996.54
2019-07-21 05:15:00,100.0,3996.54
2019-07-21 05:30:00,100.0,3996.54
2019-07-21 05:45:00,100.0,4015.67
2019-07-21 06:00:00,100.0,4005.6
2019-07-21 06:15:00,100.0,3999.8
2019-07-21 06:30:00,100.0,4005.6
2019-07-21 06:45:00,100.0,4010.08
2019-07-21 07:00:00,100.0,4005.6
2019-07-21 07:15:00,100.0,4003.58
2019-07-21 07:30:00,100.0,4003.58
