Soil_Temperature,Predictor,R2
Soil_T_Z040,Humid_Mean,0.03137715646253003
Soil_T_Z550,BaroPressure,0.030903456673981422
Soil_T_Z650,Rainfall,0.029413385107170176
Soil_T_Z350,BaroPressure,0.029031507552935487
Soil_T_Z450,BaroPressure,0.029004697159429882
Soil_T_Z550,Rainfall,0.026441765258138683
Soil_T_Z040,NetRad,0.025106454775279397
Soil_T_Z250,BaroPressure,0.02402250468347611
Soil_T_Z750,Drainage,0.02382321316294511
Soil_T_Z450,Rainfall,0.023388003057551843
Soil_T_Z650,Drainage,0.022910204174018345
Soil_T_Z850,Drainage,0.022880354050253127
Soil_T_Z800,Drainage,0.022640350384678043
Soil_T_Z900,Drainage,0.022428720382241307
Soil_T_Z550,WindSpeed,0.022379636874269138
Soil_T_Z070,Humid_Min,0.021620697196269356
Soil_T_Z550,Drainage,0.02129545982857728
Soil_T_Z070,NetRad,0.020956766374817914
Soil_T_Z450,Drainage,0.020877027209764032
Soil_T_Z040,Humid_Min,0.01996316010683452
Soil_T_Z350,Rainfall,0.0198460736306042
Soil_T_Z350,Drainage,0.01939111718818831
Soil_T_Z150,BaroPressure,0.016601765634262633
Soil_T_Z100,BaroPressure,0.01609397916941957
Soil_T_Z250,Rainfall,0.015678771415411186
Soil_T_Z250,Drainage,0.0156315678137261
Soil_T_Z100,NetRad,0.014269572147722731
Soil_T_Z100,HF.Top,0.013381889189417406
Soil_T_Z650,WindSpeed,0.012554910122536067
Soil_T_Z100,Drainage,0.01243023966480239
Soil_T_Z150,Drainage,0.011985761108852189
Soil_T_Z150,NetRad,0.011500650295822257
Soil_T_Z040,Drainage,0.010965250812374094
Soil_T_Z040,BaroPressure,0.010761995760097953
Soil_T_Z070,BaroPressure,0.010598298513086246
Soil_T_Z070,Drainage,0.010441643898971065
Soil_T_Z150,Rainfall,0.009362497968137151
Soil_T_Z100,Rainfall,0.008962596913177912
Soil_T_Z550,HF.Top,0.008556781396980018
Soil_T_Z350,HF.Top,0.008552742624690635
Soil_T_Z450,HF.Top,0.008173143120774329
Soil_T_Z250,HF.Top,0.007460175599189545
Soil_T_Z750,WindSpeed,0.0073451501482558745
Soil_T_Z040,Rainfall,0.00622696905118969
Soil_T_Z350,NetRad,0.005725996070255479
Soil_T_Z250,NetRad,0.005718422232203979
Soil_T_Z650,HF.Top,0.005488729093872768
Soil_T_Z450,NetRad,0.005459615833338649
Soil_T_Z550,NetRad,0.005239064811912941
Soil_T_Z070,Rainfall,0.005183952687610405
Soil_T_Z650,NetRad,0.004347333818955801
Soil_T_Z150,HF.Top,0.0034873047564382142
Soil_T_Z750,NetRad,0.003030390928808857
Soil_T_Z750,HF.Top,0.0027283022767086162
Soil_T_Z900,WindSpeed,0.0019781685123607673
Soil_T_Z800,WindSpeed,0.0019266354720066659
Soil_T_Z900,HF.Top,0.0017629435016156547
Soil_T_Z850,WindSpeed,0.0017187817212281908
Soil_T_Z900,NetRad,0.001641201632692213
Soil_T_Z040,PET,0.0015077894147111914
Soil_T_Z800,NetRad,0.0014765776571816769
Soil_T_Z850,NetRad,0.0010977690344833313
Soil_T_Z070,PET,0.0009985651169008847
Soil_T_Z250,PET,0.0009333124467777454
Soil_T_Z800,HF.Top,0.0008373331009786655
Soil_T_Z350,PET,0.0007298763368017713
Soil_T_Z450,PET,0.0003311560723778806
Soil_T_Z850,HF.Top,0.00023884500591908608
Soil_T_Z850,PET,0.00020786391226923495
Soil_T_Z550,PET,0.00016221082384482166
Soil_T_Z800,PET,0.0001327331947061916
Soil_T_Z900,PET,0.00011128615492395078
Soil_T_Z100,PET,6.48069624787917e-05
Soil_T_Z750,PET,4.618948123702449e-05
Soil_T_Z650,PET,3.4269316627422164e-05
Soil_T_Z150,PET,5.152814283038154e-07
