Time,Height,SoilTemp
2019-07-20 18:45:00,40.0,16.36
2019-07-20 19:00:00,40.0,16.28
2019-07-20 19:15:00,40.0,16.19
2019-07-20 19:30:00,40.0,16.09
2019-07-20 19:45:00,40.0,15.98
2019-07-20 20:00:00,40.0,15.9
2019-07-20 20:15:00,40.0,15.82
2019-07-20 20:30:00,40.0,15.76
2019-07-20 20:45:00,40.0,15.7
2019-07-20 21:00:00,40.0,15.63
2019-07-20 21:15:00,40.0,15.57
2019-07-20 21:30:00,40.0,15.52
2019-07-20 21:45:00,40.0,15.46
2019-07-20 22:00:00,40.0,15.38
2019-07-20 22:15:00,40.0,15.28
2019-07-20 22:30:00,40.0,15.16
2019-07-20 22:45:00,40.0,15.06
2019-07-20 23:00:00,40.0,14.95
2019-07-20 23:15:00,40.0,14.86
2019-07-20 23:30:00,40.0,14.77
2019-07-20 23:45:00,40.0,14.68
2019-07-21 00:00:00,40.0,14.58
2019-07-21 00:15:00,40.0,14.49
2019-07-21 00:30:00,40.0,14.4
2019-07-21 00:45:00,40.0,14.28
2019-07-21 01:00:00,40.0,14.19
2019-07-21 01:15:00,40.0,14.11
2019-07-21 01:30:00,40.0,14.05
2019-07-21 01:45:00,40.0,14.01
2019-07-21 02:00:00,40.0,13.94
2019-07-21 02:15:00,40.0,13.88
2019-07-21 02:30:00,40.0,13.84
2019-07-21 02:45:00,40.0,13.81
2019-07-21 03:00:00,40.0,13.79
2019-07-21 03:15:00,40.0,13.78
2019-07-21 03:30:00,40.0,13.76
2019-07-21 03:45:00,40.0,13.77
2019-07-21 04:00:00,40.0,13.77
2019-07-21 04:15:00,40.0,13.77
2019-07-21 04:30:00,40.0,13.77
2019-07-21 04:45:00,40.0,13.81
2019-07-21 05:00:00,40.0,13.84
2019-07-21 05:15:00,40.0,13.88
2019-07-21 05:30:00,40.0,13.93
2019-07-21 05:45:00,40.0,13.98
2019-07-21 06:00:00,40.0,14.06
2019-07-21 06:15:00,40.0,14.14
2019-07-21 06:30:00,40.0,14.22
2019-07-21 06:45:00,40.0,14.3
2019-07-21 07:00:00,40.0,14.4
2019-07-21 07:15:00,40.0,14.53
2019-07-21 07:30:00,40.0,14.65
2019-07-21 07:45:00,40.0,14.8
2019-07-21 08:00:00,40.0,14.93
2019-07-21 08:15:00,40.0,15.01
2019-07-21 08:30:00,40.0,15.08
2019-07-21 08:45:00,40.0,15.18
2019-07-21 09:00:00,40.0,15.27
2019-07-21 09:15:00,40.0,15.36
2019-07-21 09:30:00,40.0,15.45
2019-07-21 09:45:00,40.0,15.56
2019-07-21 10:00:00,40.0,15.68
2019-07-21 10:15:00,40.0,15.79
2019-07-21 10:30:00,40.0,15.88
2019-07-21 10:45:00,40.0,15.89
2019-07-21 11:00:00,40.0,15.96
2019-07-21 11:15:00,40.0,16.04
2019-07-21 11:30:00,40.0,16.07
2019-07-21 11:45:00,40.0,16.1
2019-07-21 12:00:00,40.0,16.09
2019-07-21 12:15:00,40.0,16.07
2019-07-21 12:30:00,40.0,16.08
2019-07-21 12:45:00,40.0,16.11
2019-07-21 13:00:00,40.0,16.18
2019-07-21 13:15:00,40.0,16.24
2019-07-21 13:30:00,40.0,16.35
2019-07-21 13:45:00,40.0,16.39
2019-07-21 14:00:00,40.0,16.43
2019-07-21 14:15:00,40.0,16.47
2019-07-21 14:30:00,40.0,16.52
2019-07-21 14:45:00,40.0,16.54
